,NoPerDay,measure,statistic,W1_err,W2_err,W3_err,QueueOutside_err,W1_err_pct,W2_err_pct,W3_err_pct,QueueOutside_err_pct
86,2200,90,mean,-0.630400000000007,-0.6304000000000072,-1.2639999999999627,0.8674242857142852,-0.37745590070159507,-0.3774559007015952,-1.1839984161477044,0.7756791244784664
87,2200,90,std,0.914263306101951,0.914263306101951,0.6503770158499622,0.25684311772041385,0.6486956187867867,0.6486956187867867,0.7307890890299118,0.38643653050035226
88,2200,95,mean,-0.7991999999999954,-0.7991999999999951,-1.5291428571428278,0.9129371428571442,-0.43412925249825424,-0.43412925249825424,-1.4017551414833185,0.7795773951159163
89,2200,95,std,0.9911501335236069,0.9911501335236067,0.7327226924040551,0.18735324178133717,0.7377170048968699,0.7377170048968699,0.8827268139671632,0.37643175852402955
90,2250,Avg,mean,0.16666666666666666,0.16666666666666666,0.0,0.8493939393939395,0.004198866322670503,0.004198866322670504,0.0,0.8345397935397936
91,2250,Avg,std,0.37268044707114867,0.37268044707114867,0.0,0.3063879805447483,0.015984612155791438,0.015984612155791438,0.0,0.33711366229311085
92,2250,90,mean,-0.7578125000000004,-0.7578125000000006,-1.3633333333333377,0.8786166666666668,-0.36936726603854114,-0.36936726603854125,-1.2180540000896498,0.808657997996156
93,2250,90,std,0.955172009959551,0.955172009959551,0.5328825722462887,0.2547104694364177,0.6293331296435279,0.6293331296435279,0.7005257037283857,0.3598474112014747
94,2250,95,mean,-0.8958333333333276,-0.8958333333333274,-1.6521212121212159,0.8790545454545459,-0.4382575630322114,-0.4382575630322113,-1.447988391904807,0.8023028309064671
95,2250,95,std,1.040318960642319,1.040318960642319,0.5385074034820333,0.2675192229673133,0.745115402346717,0.745115402346717,0.839821590035294,0.36812824497302377
96,2300,Avg,mean,0.0625,0.0625,0.0,0.9009090909090909,0.0012703304364116619,0.001270330436411662,0.0,0.8146669299873865
97,2300,Avg,std,0.2420630509930175,0.2420630509930175,0.0,0.23064440794121324,0.0075475334987556535,0.0075475334987556535,0.0,0.35170408613897797
